Loading files... 
  Starting triples_en.txt
  Finished triples_en.txt, still running: 0
Loaded 93484 facts in 0.87 s using 34 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.8
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 2 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?a  <20740>  ?b   => ?a  <20255>  ?b	0.028776978	1	1	4	4	4	?a	0.0	0.0	0.0
?b  <20758>  ?a   => ?a  <20254>  ?b	0.830508475	0.823529412	1	98	119	98	?a	0.0	0.0	0.0
?b  <20223>  ?a   => ?a  <20254>  ?b	0.042372881	0.00203252	1	5	2460	5	?a	0.0	0.0	0.0
?a  <20048>  ?b   => ?a  <20254>  ?b	0.050847458	0.002488594	1	6	2411	6	?a	0.0	0.0	0.0
?a  <20213>  ?b   => ?a  <20363>  ?b	0.760824742	0.092088845	0.872340426	369	4007	423	?a	0.0	0.0	0.0
?b  <20562>  ?a   => ?a  <20501>  ?b	0.13592233	0.466666667	0.823529412	14	30	17	?b	0.0	0.0	0.0
?b  <20863>  ?a   => ?a  <20501>  ?b	0.029126214	0.011494253	1	3	261	3	?b	0.0	0.0	0.0
?b  <20561>  ?a   => ?a  <20501>  ?b	0.029126214	0.230769231	1	3	13	3	?b	0.0	0.0	0.0
?b  <20911>  ?a   => ?a  <20916>  ?b	0.012121212	0.315789474	0.857142857	6	19	7	?a	0.0	0.0	0.0
?b  <20635>  ?a   => ?a  <20916>  ?b	0.014141414	0.14	0.875	7	50	8	?a	0.0	0.0	0.0
?b  <19956>  ?a   => ?a  <19956>  ?b	0.561797753	0.561797753	0.81300813	100	178	123	?b	0.0	0.0	0.0
?b  <20699>  ?a   => ?a  <20033>  ?b	0.013824885	0.008287293	1	3	362	3	?b	0.0	0.0	0.0
?a  <20219>  ?b   => ?a  <20447>  ?b	0.593442623	0.97311828	1	181	186	181	?a	0.0	0.0	0.0
?b  <20458>  ?a   => ?a  <19841>  ?b	0.037193576	0.113402062	1	44	388	44	?a	0.0	0.0	0.0
?b  <20208>  ?a   => ?a  <19841>  ?b	0.044801352	0.757142857	0.963636364	53	70	55	?a	0.0	0.0	0.0
?b  <20605>  ?a   => ?a  <19841>  ?b	0.033812342	0.909090909	1	40	44	40	?a	0.0	0.0	0.0
?b  <20169>  ?a   => ?a  <19841>  ?b	0.029585799	0.945945946	1	35	37	35	?a	0.0	0.0	0.0
?b  <19848>  ?a   => ?a  <19841>  ?b	0.02874049	0.871794872	1	34	39	34	?a	0.0	0.0	0.0
?b  <20212>  ?a   => ?a  <19841>  ?b	0.023668639	0.777777778	0.965517241	28	36	29	?a	0.0	0.0	0.0
?b  <20614>  ?a   => ?a  <19841>  ?b	0.018596788	0.448979592	0.88	22	49	25	?a	0.0	0.0	0.0
?b  <20743>  ?a   => ?a  <19841>  ?b	0.016906171	0.909090909	1	20	22	20	?a	0.0	0.0	0.0
?b  <20589>  ?a   => ?a  <19841>  ?b	0.01183432	0.933333333	1	14	15	14	?a	0.0	0.0	0.0
?a  <20599>  ?b   => ?a  <20859>  ?b	0.982758621	0.587628866	1	114	194	114	?a	0.0	0.0	0.0
?b  <20901>  ?a   => ?a  <20003>  ?b	0.340136054	0.809716599	0.930232558	200	247	215	?b	0.0	0.0	0.0
?a  <19944>  ?b   => ?a  <20003>  ?b	0.010204082	0.75	0.857142857	6	8	7	?b	0.0	0.0	0.0
?b  <20496>  ?a   => ?a  <20496>  ?b	0.861538462	0.861538462	0.861538462	392	455	455	?b	0.0	0.0	0.0
?a  <20728>  ?b   => ?a  <20223>  ?b	0.015853659	0.75	0.906976744	39	52	43	?b	0.0	0.0	0.0
?b  <19981>  ?a   => ?a  <19869>  ?b	0.609865471	0.613995485	0.918918919	544	886	592	?a	0.0	0.0	0.0
?a  <20486>  ?b   => ?a  <20301>  ?b	0.611464968	1	1	192	192	192	?a	0.0	0.0	0.0
?b  <20532>  ?a   => ?a  <20579>  ?b	0.135135135	0.652173913	0.882352941	30	46	34	?b	0.0	0.0	0.0
?a  <20830>  ?b   => ?a  <20579>  ?b	0.072072072	0.093023256	0.888888889	16	172	18	?b	0.0	0.0	0.0
?a  <20107>  ?b   => ?a  <20579>  ?b	0.063063063	0.084337349	0.933333333	14	166	15	?b	0.0	0.0	0.0
?b  <20038>  ?a   => ?a  <20578>  ?b	0.623628692	0.631084543	0.911220715	739	1171	811	?a	0.0	0.0	0.0
?b  <20322>  ?a   => ?a  <20683>  ?b	0.258426966	0.807017544	0.978723404	46	57	47	?a	0.0	0.0	0.0
?a  <19838>  ?b   => ?a  <20930>  ?b	0.036697248	0.25	0.857142857	12	48	14	?b	0.0	0.0	0.0
?b  <20132>  ?a   => ?a  <20682>  ?b	0.016806723	1	1	2	2	2	?a	0.0	0.0	0.0
?b  <20102>  ?a   => ?a  <20464>  ?b	0.02259887	0.347826087	0.888888889	8	23	9	?a	0.0	0.0	0.0
?a  <20896>  ?b   => ?a  <20464>  ?b	0.031073446	0.916666667	0.916666667	11	12	12	?a	0.0	0.0	0.0
?b  <20699>  ?a   => ?a  <20246>  ?b	0.074009901	0.825966851	0.990066225	299	362	302	?a	0.0	0.0	0.0
?b  <20783>  ?a   => ?a  <20246>  ?b	0.09480198	0.794605809	0.962311558	383	482	398	?a	0.0	0.0	0.0
?b  <20716>  ?a   => ?a  <20246>  ?b	0.020544554	0.768518519	0.943181818	83	108	88	?a	0.0	0.0	0.0
?a  <20916>  ?b   => ?a  <20246>  ?b	0.083910891	0.684848485	0.84962406	339	495	399	?a	0.0	0.0	0.0
?a  <20819>  ?b   => ?a  <20246>  ?b	0.050990099	0.760147601	0.861924686	206	271	239	?a	0.0	0.0	0.0
?b  <19798>  ?a   => ?a  <20137>  ?b	0.763168162	0.75492088	0.869333333	1956	2591	2250	?b	0.0	0.0	0.0
?b  <20123>  ?a   => ?a  <19948>  ?b	0.069711538	0.527272727	0.90625	58	110	64	?a	0.0	0.0	0.0
?b  <20659>  ?a   => ?a  <19949>  ?b	0.573318633	0.608899297	0.913884007	520	854	569	?a	0.0	0.0	0.0
?a  <20040>  ?b   => ?a  <20023>  ?b	0.03187251	0.421052632	0.8	16	38	20	?a	0.0	0.0	0.0
?a  <20781>  ?b   => ?a  <20548>  ?b	0.051282051	0.007744434	0.8	8	1033	10	?a	0.0	0.0	0.0
?b  <20097>  ?a   => ?a  <20765>  ?b	0.37007874	0.37007874	1	47	127	47	?b	0.0	0.0	0.0
?a  <20447>  ?b   => ?a  <20219>  ?b	0.97311828	0.593442623	1	181	305	181	?a	0.0	0.0	0.0
?b  <19949>  ?a   => ?a  <20659>  ?b	0.608899297	0.573318633	0.904347826	520	907	575	?a	0.0	0.0	0.0
?a  <20124>  ?b   => ?a  <20653>  ?b	0.094339623	0.945945946	0.945945946	35	37	37	?b	0.0	0.0	0.0
?a  <19971>  ?b   => ?a  <20653>  ?b	0.043126685	0.888888889	0.888888889	16	18	18	?b	0.0	0.0	0.0
?a  <19825>  ?b   => ?a  <20653>  ?b	0.035040431	0.764705882	0.928571429	13	17	14	?b	0.0	0.0	0.0
?a  <20230>  ?b   => ?a  <20653>  ?b	0.032345013	0.705882353	1	12	17	12	?b	0.0	0.0	0.0
?a  <20381>  ?b   => ?a  <20653>  ?b	0.013477089	0.714285714	1	5	7	5	?b	0.0	0.0	0.0
?a  <19934>  ?b   => ?a  <20653>  ?b	0.010781671	0.666666667	1	4	6	4	?b	0.0	0.0	0.0
?a  <20164>  ?b   => ?a  <20653>  ?b	0.010781671	1	1	4	4	4	?b	0.0	0.0	0.0
?a  <20901>  ?b   => ?a  <20108>  ?b	0.13275517	0.805668016	0.82231405	199	247	242	?b	0.0	0.0	0.0
?b  <20241>  ?a   => ?a  <19940>  ?b	0.021582734	0.257142857	0.818181818	9	35	11	?a	0.0	0.0	0.0
?b  <19929>  ?a   => ?a  <19940>  ?b	0.014388489	0.4	1	6	15	6	?a	0.0	0.0	0.0
?a  <20253>  ?b   => ?a  <19940>  ?b	0.098321343	0.431578947	0.836734694	41	95	49	?a	0.0	0.0	0.0
?b  <20216>  ?a   => ?a  <19940>  ?b	0.081534772	0.160377358	0.829268293	34	212	41	?a	0.0	0.0	0.0
?b  <20073>  ?a   => ?a  <20901>  ?b	0.04048583	0.3125	1	10	32	10	?a	0.0	0.0	0.0
?b  <19990>  ?a   => ?a  <20107>  ?b	0.042168675	0.35	0.875	7	20	8	?a	0.0	0.0	0.0
?b  <20400>  ?a   => ?a  <20107>  ?b	0.096385542	0.037647059	0.8	16	425	20	?a	0.0	0.0	0.0
?a  <20606>  ?b   => ?a  <20107>  ?b	0.084337349	0.583333333	1	14	24	14	?a	0.0	0.0	0.0
?a  <19989>  ?b   => ?a  <20761>  ?b	0.012771392	0.689655172	0.952380952	20	29	21	?a	0.0	0.0	0.0
?a  <20859>  ?b   => ?a  <20599>  ?b	0.587628866	0.982758621	1	114	116	114	?a	0.0	0.0	0.0
?a  <19989>  ?b   => ?a  <20211>  ?b	0.02919708	0.275862069	0.888888889	8	29	9	?a	0.0	0.0	0.0
?b  <20062>  ?a   => ?a  <20626>  ?b	0.011299435	1	1	2	2	2	?b	0.0	0.0	0.0
?a  <19838>  ?b   => ?a  <20626>  ?b	0.011299435	0.041666667	1	2	48	2	?b	0.0	0.0	0.0
?a  <20363>  ?b   => ?a  <20213>  ?b	0.092088845	0.760824742	0.927135678	369	485	398	?a	0.0	0.0	0.0
?b  <20855>  ?a   => ?a  <20378>  ?b	0.014266304	0.488372093	0.954545455	21	43	22	?a	0.0	0.0	0.0
?b  <20631>  ?a   => ?a  <20070>  ?b	0.038062284	0.6875	1	11	16	11	?a	0.0	0.0	0.0
?b  <19944>  ?a   => ?a  <20070>  ?b	0.020761246	0.75	1	6	8	6	?a	0.0	0.0	0.0
?b  <20106>  ?a   => ?a  <20070>  ?b	0.010380623	0.428571429	1	3	7	3	?a	0.0	0.0	0.0
?a  <20246>  ?b   => ?a  <20070>  ?b	0.038062284	0.002722772	0.916666667	11	4040	12	?a	0.0	0.0	0.0
?a  <20301>  ?b   => ?a  <20486>  ?b	1	0.611464968	1	192	314	192	?a	0.0	0.0	0.0
?b  <19945>  ?a   => ?a  <20731>  ?b	0.146341463	0.079646018	1	18	226	18	?a	0.0	0.0	0.0
?a  <20098>  ?b   => ?a  <20048>  ?b	0.01244297	0.769230769	0.909090909	30	39	33	?b	0.0	0.0	0.0
?b  <20402>  ?a   => ?a  <20263>  ?b	0.037878788	0.625	1	5	8	5	?a	0.0	0.0	0.0
?a  <19820>  ?b   => ?a  <20263>  ?b	0.045454545	0.6	1	6	10	6	?a	0.0	0.0	0.0
?b  <20920>  ?a   => ?a  <20511>  ?b	0.019417476	0.363636364	0.96	24	66	25	?a	0.0	0.0	0.0
?b  <20670>  ?a   => ?a  <20511>  ?b	0.017799353	0.55	0.846153846	22	40	26	?a	0.0	0.0	0.0
?b  <20371>  ?a   => ?a  <20371>  ?b	0.675090253	0.675090253	0.984210526	187	277	190	?b	0.0	0.0	0.0
?b  <20257>  ?a   => ?a  <20371>  ?b	0.010830325	0.050847458	1	3	59	3	?b	0.0	0.0	0.0
?b  <20067>  ?a   => ?a  <20897>  ?b	0.275862069	0.75	0.869565217	120	160	138	?b	0.0	0.0	0.0
?b  <20863>  ?a   => ?a  <20897>  ?b	0.374712644	0.624521073	0.890710383	163	261	183	?b	0.0	0.0	0.0
?a  <20543>  ?b   => ?a  <20897>  ?b	0.020689655	0.818181818	0.9	9	11	10	?b	0.0	0.0	0.0
?b  <19924>  ?a   => ?a  <20458>  ?b	0.041237113	0.761904762	1	16	21	16	?a	0.0	0.0	0.0
?b  <20107>  ?a   => ?a  <20400>  ?b	0.037647059	0.096385542	0.8	16	166	20	?b	0.0	0.0	0.0
?b  <20073>  ?a   => ?a  <20813>  ?b	0.113300493	0.71875	1	23	32	23	?b	0.0	0.0	0.0
?b  <20765>  ?a   => ?a  <20097>  ?b	0.37007874	0.37007874	0.979166667	47	127	48	?b	0.0	0.0	0.0
?a  <20040>  ?b   => ?a  <20781>  ?b	0.013552759	0.368421053	0.933333333	14	38	15	?a	0.0	0.0	0.0
?a  <20450>  ?b   => ?a  <20781>  ?b	0.012584705	0.216666667	0.928571429	13	60	14	?a	0.0	0.0	0.0
?b  <20235>  ?a   => ?a  <20235>  ?b	0.011695906	0.011695906	1	2	171	2	?a	0.0	0.0	0.0
?b  <20254>  ?a   => ?a  <20758>  ?b	0.823529412	0.830508475	1	98	118	98	?a	0.0	0.0	0.0
?b  <20048>  ?a   => ?a  <20758>  ?b	0.050420168	0.002488594	1	6	2411	6	?a	0.0	0.0	0.0
?a  <20223>  ?b   => ?a  <20758>  ?b	0.042016807	0.00203252	1	5	2460	5	?a	0.0	0.0	0.0
?b  <19805>  ?a   => ?a  <20319>  ?b	0.017684887	0.458333333	0.846153846	11	24	13	?a	0.0	0.0	0.0
?b  <20137>  ?a   => ?a  <19798>  ?b	0.75492088	0.763168162	0.872824632	1956	2563	2241	?b	0.0	0.0	0.0
?b  <20728>  ?a   => ?a  <19798>  ?b	0.013122347	0.653846154	0.829268293	34	52	41	?b	0.0	0.0	0.0
?b  <20543>  ?a   => ?a  <20863>  ?b	0.026819923	0.636363636	0.875	7	11	8	?a	0.0	0.0	0.0
?b  <20501>  ?a   => ?a  <20863>  ?b	0.011494253	0.029126214	1	3	103	3	?a	0.0	0.0	0.0
?a  <20381>  ?b   => ?a  <20397>  ?b	0.013793103	0.285714286	1	2	7	2	?b	0.0	0.0	0.0
?a  <19780>  ?b   => ?a  <20397>  ?b	0.013793103	1	1	2	2	2	?b	0.0	0.0	0.0
?a  <19934>  ?b   => ?a  <20397>  ?b	0.013793103	0.333333333	1	2	6	2	?b	0.0	0.0	0.0
?a  <20042>  ?b   => ?a  <19931>  ?b	0.016304348	0.315789474	0.857142857	6	19	7	?b	0.0	0.0	0.0
?b  <19906>  ?a   => ?a  <19930>  ?b	0.628992629	0.664359862	0.921968788	768	1156	833	?a	0.0	0.0	0.0
?b  <19798>  ?a  ?b  <20393>  ?a   => ?a  <20311>  ?b	0.013422819	0.4	1	2	5	2	?b	0.0	0.0	0.0
?b  <19931>  ?a  ?a  <20137>  ?b   => ?a  <20311>  ?b	0.046979866	0.291666667	0.875	7	24	8	?b	0.0	0.0	0.0
?b  <19931>  ?a  ?a  <20223>  ?b   => ?a  <20311>  ?b	0.020134228	0.5	1	3	6	3	?b	0.0	0.0	0.0
?b  <19931>  ?a  ?b  <20048>  ?a   => ?a  <20311>  ?b	0.013422819	0.333333333	1	2	6	2	?b	0.0	0.0	0.0
?b  <20048>  ?a  ?b  <20305>  ?a   => ?a  <20311>  ?b	0.046979866	0.073684211	0.875	7	95	8	?b	0.0	0.0	0.0
?b  <19841>  ?a  ?b  <20305>  ?a   => ?a  <20311>  ?b	0.013422819	0.083333333	1	2	24	2	?b	0.0	0.0	0.0
?a  <20223>  ?b  ?b  <20376>  ?a   => ?a  <20311>  ?b	0.013422819	0.4	1	2	5	2	?b	0.0	0.0	0.0
?b  <19931>  ?f  ?f  <20501>  ?a   => ?a  <20311>  ?b	0.013422819	0.4	1	2	5	2	?b	0.0	0.0	0.0
?b  <20208>  ?f  ?f  <20376>  ?a   => ?a  <20311>  ?b	0.013422819	0.5	1	2	4	2	?b	0.0	0.0	0.0
?f  <20116>  ?a  ?b  <20259>  ?f   => ?a  <20311>  ?b	0.013422819	0.285714286	1	2	7	2	?b	0.0	0.0	0.0
?a  <20384>  ?f  ?f  <20666>  ?b   => ?a  <20698>  ?b	0.014492754	0.78125	0.862068966	25	32	29	?a	0.0	0.0	0.0
?e  <20376>  ?a  ?e  <20698>  ?b   => ?a  <20698>  ?b	0.022028986	0.633333333	0.808510638	38	60	47	?a	0.0	0.0	0.0
?a  <20477>  ?f  ?b  <20785>  ?f   => ?a  <20477>  ?b	0.357142857	0.916666667	0.916666667	55	60	60	?a	0.0	0.0	0.0
?b  <19873>  ?f  ?a  <20477>  ?f   => ?a  <20477>  ?b	0.025974026	1	1	4	4	4	?a	0.0	0.0	0.0
?f  <19873>  ?b  ?a  <20477>  ?f   => ?a  <20477>  ?b	0.025974026	1	1	4	4	4	?a	0.0	0.0	0.0
?a  <20291>  ?f  ?f  <20477>  ?b   => ?a  <20477>  ?b	0.038961039	0.428571429	0.857142857	6	14	7	?a	0.0	0.0	0.0
?a  <20322>  ?f  ?f  <20477>  ?b   => ?a  <20477>  ?b	0.051948052	1	1	8	8	8	?a	0.0	0.0	0.0
?a  <20407>  ?f  ?f  <20477>  ?b   => ?a  <20477>  ?b	0.012987013	1	1	2	2	2	?a	0.0	0.0	0.0
?f  <20477>  ?b  ?a  <20737>  ?f   => ?a  <20477>  ?b	0.012987013	1	1	2	2	2	?a	0.0	0.0	0.0
?a  <20192>  ?f  ?f  <20477>  ?b   => ?a  <20477>  ?b	0.019480519	1	1	3	3	3	?a	0.0	0.0	0.0
?e  <20477>  ?b  ?e  <20737>  ?a   => ?a  <20477>  ?b	0.012987013	0.222222222	1	2	9	2	?a	0.0	0.0	0.0
?e  <20477>  ?b  ?e  <20683>  ?a   => ?a  <20477>  ?b	0.051948052	1	1	8	8	8	?a	0.0	0.0	0.0
?a  <19981>  ?f  ?b  <20578>  ?f   => ?a  <19906>  ?b	0.243079585	0.590336134	0.843843844	281	476	333	?a	0.0	0.0	0.0
?a  <19949>  ?f  ?b  <20038>  ?f   => ?a  <19906>  ?b	0.253460208	0.602880658	0.846820809	293	486	346	?a	0.0	0.0	0.0
?a  <20213>  ?f  ?b  <20439>  ?f   => ?a  <20366>  ?b	0.01532567	0.054054054	1	4	74	4	?a	0.0	0.0	0.0
?a  <20213>  ?f  ?f  <20487>  ?b   => ?a  <20366>  ?b	0.030651341	0.072727273	0.8	8	110	10	?a	0.0	0.0	0.0
?a  <20137>  ?f  ?f  <20366>  ?b   => ?a  <20366>  ?b	0.103448276	0.272727273	0.818181818	27	99	33	?a	0.0	0.0	0.0
?a  <19798>  ?f  ?f  <20331>  ?b   => ?a  <20366>  ?b	0.030651341	0.470588235	0.8	8	17	10	?a	0.0	0.0	0.0
?a  <20223>  ?f  ?f  <20366>  ?b   => ?a  <20366>  ?b	0.068965517	0.243243243	0.818181818	18	74	22	?a	0.0	0.0	0.0
?a  <20246>  ?f  ?f  <20487>  ?b   => ?a  <20366>  ?b	0.011494253	0.6	1	3	5	3	?a	0.0	0.0	0.0
?a  <20048>  ?f  ?f  <20366>  ?b   => ?a  <20366>  ?b	0.061302682	0.23880597	0.842105263	16	67	19	?a	0.0	0.0	0.0
?a  <20305>  ?f  ?f  <20366>  ?b   => ?a  <20366>  ?b	0.068965517	0.268656716	0.947368421	18	67	19	?a	0.0	0.0	0.0
?a  <20026>  ?f  ?f  <20840>  ?b   => ?a  <20366>  ?b	0.019157088	0.625	0.833333333	5	8	6	?a	0.0	0.0	0.0
?f  <20487>  ?b  ?a  <20805>  ?f   => ?a  <20366>  ?b	0.011494253	0.5	1	3	6	3	?a	0.0	0.0	0.0
?a  <20814>  ?f  ?f  <20840>  ?b   => ?a  <20366>  ?b	0.022988506	0.25	0.857142857	6	24	7	?a	0.0	0.0	0.0
?a  <19841>  ?f  ?f  <20331>  ?b   => ?a  <20366>  ?b	0.011494253	0.5	1	3	6	3	?a	0.0	0.0	0.0
?e  <19798>  ?a  ?e  <20229>  ?b   => ?a  <20366>  ?b	0.011494253	0.272727273	1	3	11	3	?a	0.0	0.0	0.0
?e  <19798>  ?a  ?e  <20366>  ?b   => ?a  <20366>  ?b	0.107279693	0.254545455	0.8	28	110	35	?a	0.0	0.0	0.0
?e  <20137>  ?a  ?e  <20366>  ?b   => ?a  <20366>  ?b	0.091954023	0.218181818	0.8	24	110	30	?a	0.0	0.0	0.0
?e  <20048>  ?a  ?e  <20366>  ?b   => ?a  <20366>  ?b	0.072796935	0.256756757	0.863636364	19	74	22	?a	0.0	0.0	0.0
?e  <20223>  ?a  ?e  <20366>  ?b   => ?a  <20366>  ?b	0.068965517	0.225	0.818181818	18	80	22	?a	0.0	0.0	0.0
?e  <20305>  ?a  ?e  <20366>  ?b   => ?a  <20366>  ?b	0.057471264	0.25862069	0.9375	15	58	16	?a	0.0	0.0	0.0
?e  <20137>  ?a  ?e  <20331>  ?b   => ?a  <20366>  ?b	0.022988506	0.4	0.857142857	6	15	7	?a	0.0	0.0	0.0
?e  <20305>  ?a  ?e  <20331>  ?b   => ?a  <20366>  ?b	0.019157088	0.833333333	1	5	6	5	?a	0.0	0.0	0.0
?b  <19798>  ?f  ?a  <20886>  ?f   => ?a  <20830>  ?b	0.011627907	0.5	1	2	4	2	?a	0.0	0.0	0.0
?f  <19809>  ?b  ?a  <20830>  ?f   => ?a  <20830>  ?b	0.011627907	1	1	2	2	2	?a	0.0	0.0	0.0
?f  <20330>  ?b  ?a  <20330>  ?f   => ?a  <20830>  ?b	0.011627907	0.2	1	2	10	2	?a	0.0	0.0	0.0
?f  <20830>  ?b  ?a  <20886>  ?f   => ?a  <20830>  ?b	0.046511628	0.888888889	0.888888889	8	9	9	?a	0.0	0.0	0.0
?e  <20830>  ?b  ?e  <20886>  ?a   => ?a  <20830>  ?b	0.052325581	0.6	0.818181818	9	15	11	?a	0.0	0.0	0.0
?b  <19906>  ?f  ?a  <19949>  ?f   => ?a  <20038>  ?b	0.246797609	0.599585062	0.865269461	289	482	334	?a	0.0	0.0	0.0
?f  <19930>  ?b  ?a  <19949>  ?f   => ?a  <20038>  ?b	0.29205807	0.608540925	0.824096386	342	562	415	?a	0.0	0.0	0.0
?a  <19869>  ?f  ?f  <19906>  ?b   => ?a  <20038>  ?b	0.249359522	0.5703125	0.804407713	292	512	363	?a	0.0	0.0	0.0
?e  <19930>  ?b  ?e  <20659>  ?a   => ?a  <20038>  ?b	0.28351836	0.53634895	0.834170854	332	619	398	?a	0.0	0.0	0.0
?b  <20003>  ?f  ?a  <20473>  ?f   => ?a  <20473>  ?b	0.01183432	1	1	2	2	2	?a	0.0	0.0	0.0
?b  <20282>  ?a  ?a  <20453>  ?b   => ?a  <20255>  ?b	0.100719424	0.823529412	1	14	17	14	?a	0.0	0.0	0.0
?b  <20282>  ?a  ?a  <20804>  ?b   => ?a  <20255>  ?b	0.079136691	0.846153846	1	11	13	11	?a	0.0	0.0	0.0
?b  <20282>  ?a  ?a  <20312>  ?b   => ?a  <20255>  ?b	0.028776978	0.8	1	4	5	4	?a	0.0	0.0	0.0
?f  <19795>  ?b  ?a  <20551>  ?f   => ?a  <20255>  ?b	0.014388489	1	1	2	2	2	?a	0.0	0.0	0.0
?f  <20255>  ?b  ?a  <20551>  ?f   => ?a  <20255>  ?b	0.179856115	0.833333333	0.925925926	25	30	27	?a	0.0	0.0	0.0
?f  <20255>  ?b  ?a  <20622>  ?f   => ?a  <20255>  ?b	0.179856115	0.833333333	0.892857143	25	30	28	?a	0.0	0.0	0.0
?f  <20161>  ?b  ?a  <20622>  ?f   => ?a  <20255>  ?b	0.014388489	1	1	2	2	2	?a	0.0	0.0	0.0
?f  <20255>  ?b  ?a  <20279>  ?f   => ?a  <20255>  ?b	0.100719424	0.56	0.823529412	14	25	17	?a	0.0	0.0	0.0
?f  <20255>  ?b  ?a  <20724>  ?f   => ?a  <20255>  ?b	0.122302158	0.586206897	0.80952381	17	29	21	?a	0.0	0.0	0.0
?e  <20255>  ?b  ?e  <20724>  ?a   => ?a  <20255>  ?b	0.122302158	1	1	17	17	17	?a	0.0	0.0	0.0
?e  <20255>  ?b  ?e  <20279>  ?a   => ?a  <20255>  ?b	0.100719424	1	1	14	14	14	?a	0.0	0.0	0.0
?e  <20121>  ?a  ?e  <20255>  ?b   => ?a  <20255>  ?b	0.050359712	1	1	7	7	7	?a	0.0	0.0	0.0
?e  <20161>  ?b  ?e  <20661>  ?a   => ?a  <20255>  ?b	0.014388489	1	1	2	2	2	?a	0.0	0.0	0.0
?e  <20161>  ?b  ?e  <20408>  ?a   => ?a  <20255>  ?b	0.014388489	1	1	2	2	2	?a	0.0	0.0	0.0
?e  <20161>  ?b  ?e  <20664>  ?a   => ?a  <20255>  ?b	0.014388489	1	1	2	2	2	?a	0.0	0.0	0.0
?e  <19980>  ?b  ?e  <20408>  ?a   => ?a  <20255>  ?b	0.014388489	1	1	2	2	2	?a	0.0	0.0	0.0
?e  <19980>  ?b  ?e  <20664>  ?a   => ?a  <20255>  ?b	0.014388489	1	1	2	2	2	?a	0.0	0.0	0.0
?a  <20137>  ?f  ?f  <20146>  ?b   => ?a  <20146>  ?b	0.265306122	0.254901961	0.951219512	39	153	41	?a	0.0	0.0	0.0
?a  <19798>  ?f  ?f  <20146>  ?b   => ?a  <20146>  ?b	0.265306122	0.24375	0.906976744	39	160	43	?a	0.0	0.0	0.0
?f  <20146>  ?b  ?a  <20223>  ?f   => ?a  <20146>  ?b	0.238095238	0.309734513	0.972222222	35	113	36	?a	0.0	0.0	0.0
?a  <20048>  ?f  ?f  <20146>  ?b   => ?a  <20146>  ?b	0.217687075	0.316831683	0.914285714	32	101	35	?a	0.0	0.0	0.0
?a  <19841>  ?f  ?f  <20818>  ?b   => ?a  <20146>  ?b	0.013605442	0.166666667	1	2	12	2	?a	0.0	0.0	0.0
